14,[ 0.6155618  0.3844382]
20,[ 0.49547839  0.50452161]
23,[ 0.55205844  0.44794156]
26,[ 0.72685194  0.27314806]
48,[ 0.71976833  0.28023167]
51,[ 0.9886401  0.0113599]
53,[ 0.95321384  0.04678616]
55,[ 0.77938567  0.22061433]
69,[ 0.39276488  0.60723512]
70,[ 0.71691611  0.28308389]
76,[ 0.77042059  0.22957941]
80,[ 0.20779481  0.79220519]
88,[ 0.91725892  0.08274108]
95,[ 0.53491057  0.46508943]
103,[ 0.96105978  0.03894022]
113,[ 0.83837101  0.16162899]
133,[ 0.64312133  0.35687867]
152,[ 0.91542877  0.08457123]
155,[ 0.8350204  0.1649796]
157,[ 0.68237043  0.31762957]
164,[ 0.03612029  0.96387971]
171,[ 0.25857366  0.74142634]
178,[ 0.92220361  0.07779639]
195,[ 0.36929433  0.63070567]
212,[ 0.05412991  0.94587009]
216,[ 0.36478778  0.63521222]
226,[ 0.01935135  0.98064865]
240,[ 0.90881624  0.09118376]
247,[ 0.59512528  0.40487472]
249,[ 0.21698079  0.78301921]
257,[ 0.81292278  0.18707722]
265,[ 0.65806599  0.34193401]
275,[ 0.35216969  0.64783031]
282,[ 0.66851532  0.33148468]
285,[ 0.88535909  0.11464091]
286,[ 0.03675807  0.96324193]
295,[ 0.9802501  0.0197499]
304,[ 0.90749075  0.09250925]
305,[ 0.03206341  0.96793659]
322,[ 0.85296843  0.14703157]
337,[ 0.89603223  0.10396777]
344,[ 0.92312705  0.07687295]
349,[ 0.89271913  0.10728087]
360,[ 0.03843027  0.96156973]
379,[ 0.03734293  0.96265707]
387,[ 0.80155221  0.19844779]
390,[ 0.77806977  0.22193023]
403,[ 0.45380032  0.54619968]
414,[ 0.95311979  0.04688021]
419,[ 0.02450121  0.97549879]
421,[ 0.04460045  0.95539955]
428,[ 0.18143206  0.81856794]
429,[ 0.80434248  0.19565752]
432,[ 0.87778894  0.12221106]
452,[ 0.81400056  0.18599944]
475,[ 0.69888728  0.30111272]
487,[ 0.03612029  0.96387971]
497,[ 0.01833773  0.98166227]
505,[ 0.85216377  0.14783623]
507,[ 0.03883874  0.96116126]
527,[ 0.01935135  0.98064865]
552,[ 0.89645607  0.10354393]
558,[ 0.64778711  0.35221289]
561,[ 0.26575418  0.73424582]
572,[ 0.21921135  0.78078865]
583,[ 0.04154989  0.95845011]
584,[ 0.27218034  0.72781966]
589,[ 0.25097671  0.74902329]
594,[ 0.92966088  0.07033912]
606,[ 0.98374419  0.01625581]
609,[ 0.28244803  0.71755197]
615,[ 0.79983546  0.20016454]
630,[ 0.31727424  0.68272576]
635,[ 0.49402992  0.50597008]
638,[ 0.95007694  0.04992306]
645,[ 0.220766  0.779234]
652,[ 0.31074807  0.68925193]
660,[ 0.87962825  0.12037175]
661,[ 0.46634657  0.53365343]
663,[ 0.70577551  0.29422449]
680,[ 0.30443345  0.69556655]
685,[ 0.38004054  0.61995946]
686,[ 0.01833773  0.98166227]
690,[ 0.93058536  0.06941464]
691,[ 0.38759107  0.61240893]
693,[ 0.96396722  0.03603278]
695,[ 0.77351603  0.22648397]
700,[ 0.0349796  0.9650204]
703,[ 0.74896897  0.25103103]
709,[ 0.84380227  0.15619773]
713,[ 0.01833773  0.98166227]
723,[ 0.0713814  0.9286186]
726,[ 0.79369729  0.20630271]
727,[ 0.38789659  0.61210341]
733,[ 0.3336616  0.6663384]
743,[ 0.10701127  0.89298873]
751,[ 0.95967239  0.04032761]
752,[ 0.80090621  0.19909379]
758,[ 0.86218462  0.13781538]
762,[ 0.06216855  0.93783145]
768,[ 0.01935135  0.98064865]
771,[ 0.26718669  0.73281331]
788,[ 0.78909864  0.21090136]
790,[ 0.88874117  0.11125883]
791,[ 0.63335352  0.36664648]
797,[ 0.03709618  0.96290382]
802,[ 0.91395071  0.08604929]
805,[ 0.63513448  0.36486552]
819,[ 0.15844812  0.84155188]
821,[ 0.89147991  0.10852009]
825,[ 0.89472969  0.10527031]
827,[ 0.39701847  0.60298153]
833,[ 0.09686722  0.90313278]
843,[ 0.02614926  0.97385074]
844,[ 0.12820627  0.87179373]
848,[ 0.72058604  0.27941396]
853,[ 0.9256889  0.0743111]
870,[ 0.81378032  0.18621968]
872,[ 0.69110259  0.30889741]
895,[ 0.81019419  0.18980581]
901,[ 0.55800727  0.44199273]
911,[ 0.86525708  0.13474292]
912,[ 0.40574736  0.59425264]
916,[ 0.79052364  0.20947636]
921,[ 0.92517322  0.07482678]
935,[ 0.06871719  0.93128281]
940,[ 0.98815979  0.01184021]
961,[ 0.03612029  0.96387971]
963,[ 0.87769733  0.12230267]
980,[ 0.31641659  0.68358341]
994,[ 0.9677775  0.0322225]
1005,[ 0.79787108  0.20212892]
1006,[ 0.31162047  0.68837953]
1007,[ 0.87327991  0.12672009]
1015,[ 0.36616333  0.63383667]
1024,[ 0.86838378  0.13161622]
1030,[ 0.85559991  0.14440009]
1031,[ 0.06780374  0.93219626]
1033,[ 0.76000731  0.23999269]
1035,[ 0.76061905  0.23938095]
1046,[ 0.05683957  0.94316043]
1065,[ 0.78070927  0.21929073]
1072,[ 0.02931295  0.97068705]
1078,[ 0.95208374  0.04791626]
1080,[ 0.92574601  0.07425399]
1099,[ 0.86962683  0.13037317]
1103,[ 0.59547471  0.40452529]
1133,[ 0.80220232  0.19779768]
1145,[ 0.65860935  0.34139065]
1147,[ 0.82116707  0.17883293]
1150,[ 0.96990255  0.03009745]
1164,[ 0.0781473  0.9218527]
1174,[ 0.44717944  0.55282056]
1181,[ 0.08461906  0.91538094]
1182,[ 0.99128773  0.00871227]
1213,[ 0.30526493  0.69473507]
1223,[ 0.74945886  0.25054114]
1225,[ 0.45382729  0.54617271]
1235,[ 0.26686704  0.73313296]
1240,[ 0.21633192  0.78366808]
1243,[ 0.86530593  0.13469407]
1252,[ 0.84181851  0.15818149]
1253,[ 0.5108806  0.4891194]
1255,[ 0.09095962  0.90904038]
1274,[ 0.03446261  0.96553739]
1278,[ 0.97199084  0.02800916]
1285,[ 0.75471539  0.24528461]
1288,[ 0.74031726  0.25968274]
1289,[ 0.84303294  0.15696706]
1290,[ 0.75470438  0.24529562]
1297,[ 0.05549882  0.94450118]
1306,[ 0.94456561  0.05543439]
